airline,nb_bumped,bumps_16,rate,rate_16,total_passengers
DELTA AIR LINES,679,912,0.07,0.09,2500
VIRGIN AMERICA,165,77,0.27,0.13,2000
JETBLUE AIRWAYS,1475,2140,0.54,0.82,2000
UNITED AIRLINES,2067,2874,0.30,0.45,3000
HAWAIIAN AIRLINES,92,30,0.11,0.04,150
EXPRESSJET AIRLINES,785,2541,0.67,1.58,1200
SKYWEST AIRLINES,917,2177,0.37,0.96,1500
AMERICAN AIRLINES,4517,6598,0.46,0.66,5000
ALASKA AIRLINES,658,734,0.35,0.41,1000
SOUTHWEST AIRLINES,6678,11907,0.58,1.06,10000
FRONTIER AIRLINES,540,688,0.45,0.63,800
SPIRIT AIRLINES,1502,1418,0.88,0.93,2500